date,open,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,13:15,13:30,13:45,14:00,14:15,14:30,14:45,close
2010-01-04,3.207444190979004,3.1876277923583984,3.1734731197357178,3.1791348457336426,3.170642137527466,3.1847968101501465,3.1819658279418945,3.1734731197357178,3.162149429321289,3.164980173110962,3.162149429321289,3.156487464904785,3.1791348457336426,3.170642137527466,3.162149429321289,3.156487464904785,3.1479947566986084
2010-01-05,3.1479947566986084,3.0970380306243896,3.0489120483398438,3.0517430305480957,3.046081066131592,3.046081066131592,3.0517430305480957,3.077221393585205,3.0913760662078857,3.0913760662078857,3.085714101791382,3.0602357387542725,3.074390411376953,3.0658977031707764,3.0574049949645996,3.0545740127563477,3.0574049949645996
2010-01-06,3.0545740127563477,3.080052375793457,3.040419340133667,3.0574049949645996,3.0489120483398438,3.0658977031707764,3.0545740127563477,3.111192464828491,3.111192464828491,3.088545083999634,3.085714101791382,3.0715596675872803,3.0687286853790283,3.0602357387542725,3.0602357387542725,3.0574049949645996,3.0658977031707764
2010-01-07,3.0715596675872803,3.0517430305480957,3.0177719593048096,3.0121099948883057,3.0206027030944824,3.0262646675109863,3.0206027030944824,3.080052375793457,3.085714101791382,3.074390411376953,3.085714101791382,3.082883358001709,3.0602357387542725,3.0602357387542725,3.043250322341919,3.0290956497192383,3.040419340133667
2010-01-08,3.0290956497192383,3.0715596675872803,3.0913760662078857,3.074390411376953,3.0630667209625244,3.046081066131592,3.0574049949645996,3.040419340133667,3.046081066131592,3.0489120483398438,3.046081066131592,3.046081066131592,3.0602357387542725,3.074390411376953,3.085714101791382,3.0970380306243896,3.114023447036743
2010-01-11,3.164980173110962,3.0602357387542725,3.0574049949645996,3.0602357387542725,3.0602357387542725,3.0517430305480957,3.0574049949645996,3.0545740127563477,3.0545740127563477,3.0545740127563477,3.0574049949645996,3.0630667209625244,3.0687286853790283,3.0489120483398438,3.0290956497192383,3.034757375717163,3.0319266319274902
2010-01-12,3.077221393585205,3.1026997566223145,3.0715596675872803,3.074390411376953,3.077221393585205,3.0658977031707764,3.0574049949645996,3.077221393585205,3.085714101791382,3.0913760662078857,3.131009101867676,3.1423327922821045,3.1508255004882812,3.1508255004882812,3.1395018100738525,3.1395018100738525,3.164980173110962
2010-01-13,3.0913760662078857,3.1083617210388184,3.1055307388305664,3.116854429244995,3.114023447036743,3.080052375793457,3.085714101791382,3.0913760662078857,3.077221393585205,3.082883358001709,3.077221393585205,3.074390411376953,3.082883358001709,3.0687286853790283,3.082883358001709,3.0658977031707764,3.0630667209625244
2010-01-14,3.085714101791382,3.0489120483398438,3.080052375793457,3.077221393585205,3.0658977031707764,3.0574049949645996,3.0290956497192383,3.0262646675109863,3.037588357925415,3.0545740127563477,3.082883358001709,3.077221393585205,3.074390411376953,3.0715596675872803,3.0658977031707764,3.074390411376953,3.080052375793457
2010-01-15,3.0998687744140625,3.119685411453247,3.111192464828491,3.1763041019439697,3.1791348457336426,3.167811155319214,3.162149429321289,3.153656482696533,3.156487464904785,3.164980173110962,3.153656482696533,3.1423327922821045,3.1366710662841797,3.1395018100738525,3.122516393661499,3.1366710662841797,3.1395018100738525
2010-01-18,3.119685411453247,3.153656482696533,3.1508255004882812,3.1423327922821045,3.156487464904785,3.159318447113037,3.167811155319214,3.156487464904785,3.153656482696533,3.159318447113037,3.1508255004882812,3.162149429321289,3.167811155319214,3.1791348457336426,3.1904585361480713,3.1791348457336426,3.1819658279418945
